1	AMYVID
2	QUINIDINE GLUCONATE
3	TRULICITY
4	AXIRON
5	PROZAC
6	STRATTERA
7	SYMBYAX
8	CYMBALTA
9	ZYPREXA
10	EVISTA
11	ZYPREXA
12	CIALIS
13	LIVALO
14	EFFIENT
15	REOPRO
16	HUMATROPE
17	GEMZAR
18	HUMALOG
19	ALIMTA
20	CYRAMZA
21	GLUCAGON
22	HUMULIN
23	FORTEO
24	HALOG
25	KENALOG-40
26	NULOJIX
27	KENALOG-10
28	SPRYCEL
29	HYDREA
30	ELIQUIS
31	FARXIGA
32	BARACLUDE
33	ZERIT
34	ORENCIA
35	AZACTAM
36	YERVOY
37	REYATAZ
38	EVOTAZ
39	OPDIVO
40	ONGLYZA
41	KOMBIGLYZE
42	PRAVACHOL
43	DROXIA
44	NAPROSYN
45	VALCYTE
46	KLONOPIN
47	COPEGUS
48	BONIVA
49	INVIRASE
50	XENICAL
51	CELLCEPT
52	PEGASYS
53	FUZEON
54	MIRCERA
55	TAMIFLU
56	XELODA
57	ROCEPHIN
58	ANAPROX
59	ANAPROX DS
60	EC-NAPROSYN
61	CYTOVENE
62	TRUMENBA
63	PREVNAR
64	PREVNAR 13
65	FIBERCON
66	BELSOMRA
67	PRINIVIL
68	FOSAMAX
69	STROMECTOL
70	PROPECIA
71	PROSCAR
72	JANUMET
73	JANUVIA
74	ISENTRESS
75	MAXALT
76	FOSAMAX PLUS D
77	ZONTIVITY
78	EMEND
79	JUVISYNC
80	ZOCOR
81	ZOLINZA
82	CRIXIVAN
83	HYZAAR
84	MEVACOR
85	COZAAR
86	SINGULAIR
87	KEYTRUDA
88	AMINOHIPPURATE SODIUM
89	PRIMAXIN
90	TRUSOPT
91	COSOPT
92	MAXALT-MLT
93	CANCIDAS
94	INVANZ
95	SINEMET
96	ZIOPTAN
97	GARDASIL
98	ROTATEQ
99	RECOMBIVAX HB
100	VAQTA
101	GARDASIL 9
102	GRASTEK
103	STERILE DILUENT
104	M-M-R II
105	PNEUMOVAX 23
106	VARIVAX
107	PEDVAXHIB
108	COMVAX
109	ZOSTAVAX
110	PROQUAD
111	RAGWITEK
112	ANTIVENIN
113	ARIXTRA
114	COREG
115	DYAZIDE
116	HYCAMTIN
117	ARRANON
118	ARGATROBAN
119	PROMACTA
120	REQUIP
121	ALTABAX
122	VINORELBINE TARTRATE
123	ANTIVENIN (MICRURUS FULVIUS)
124	PANTOPRAZOLE SODIUM
125	EFFEXOR
126	PROTONIX
127	RAPAMUNE
128	DUAVEE
129	TORISEL
130	PRISTIQ
131	TRECATOR
132	CORDARONE
133	TYGACIL
134	SOLU-MEDROL
135	SOLU-CORTEF
136	CORTEF
137	HALCION
138	MEDROL
139	DIDREX
140	XANAX
141	SOLU-MEDROL
142	PROVERA
143	DEPO-TESTOSTERONE
144	CLEOCIN HYDROCHLORIDE
145	BACITRACIN
146	COLESTID
147	DEPO-ESTRADIOL
148	DEPO-MEDROL
149	CLEOCIN PHOSPHATE
150	GLYNASE
151	FLAVORED COLESTID
152	R-GENE
153	LINCOCIN
154	DEPO-PROVERA
